개방서비스명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,소재지면적,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,다중이용업소여부,시설총규모
휴게음식점,20170531,,01,영업/정상,01,영업,,83.51,부산광역시 동래구 복천동 190번지,이디야커피,20170712141556,I,2018-08-31 23:59:59.0,커피숍,389962.798824819,191581.908141391,커피숍,,,N,83.51
휴게음식점,20170713,,01,영업/정상,01,영업,,32.22,부산광역시 동래구 낙민동 74-4번지,커피야스,20181017134755,U,2018-10-19 02:37:29.0,커피숍,390777.937616607,190388.548259459,커피숍,,,N,32.22
휴게음식점,20170807,,01,영업/정상,01,영업,,50.63,부산광역시 동래구 온천동 1441-12번지,셀렉토커피 동래역점,20170915113131,I,2018-08-31 23:59:59.0,기타 휴게음식점,389023.495563972,191482.519723503,기타 휴게음식점,,,N,50.63
휴게음식점,20170816,,01,영업/정상,01,영업,,12.13,부산광역시 동래구 수안동 277-4번지,메가커피 동래시장점,20190819144025,U,2019-08-21 02:40:00.0,커피숍,389951.242350171,191125.73483753,커피숍,,,N,12.13
휴게음식점,20140430,,01,영업/정상,01,영업,,85.67,부산광역시 사하구 괴정동 828-1번지,카페 3355,20140603173014,I,2018-08-31 23:59:59.0,커피숍,381448.996781893,179448.39797661,커피숍,,,N,85.67
휴게음식점,20100618,,01,영업/정상,01,영업,,86.19,부산광역시 동래구 온천동 1459-37번지 외 1필지,카페유별,20191031095430,U,2019-11-02 02:40:00.0,커피숍,388816.008389296,191194.183749955,커피숍,,,N,86.19
휴게음식점,20101125,,01,영업/정상,01,영업,,236.00,부산광역시 동래구 온천동 1248-2번지 (1층),카페베네미남역점,20191215143916,U,2019-12-17 02:40:00.0,커피숍,388225.190759863,191555.869131759,커피숍,,,N,236
휴게음식점,20101227,,01,영업/정상,01,영업,,328.42,부산광역시 동래구 사직동 89-10번지,카페베네사직운동장점,20180705142701,I,2018-08-31 23:59:59.0,커피숍,387486.567862279,190438.962126337,커피숍,,,N,328.42
휴게음식점,20140220,,01,영업/정상,01,영업,,31.00,부산광역시 사하구 하단동 494-3번지,커피베이 동아대점,20140305113412,I,2018-08-31 23:59:59.0,커피숍,379182.553020163,181081.44391017,커피숍,,,N,31
휴게음식점,20140325,,01,영업/정상,01,영업,,80.00,부산광역시 사하구 하단동 1149-2번지,부산사하두송지역자활센터 고우니도시락카페,20190218153001,U,2019-02-20 02:40:00.0,일반조리판매,377571.328445354,180840.261285976,일반조리판매,,,N,80
